CATEGORY_NAME,TOTAL_BOOKS,AVG_RATING,AVG_REVIEWS,AVG_PRICE,KU_PERCENTAGE
"Mystery, Thriller & Suspense",6272,4.43,5.5,7.6,49.1
Engineering & Transportation,6162,4.16,0.0,27.39,13.6
Science & Math,5955,4.45,0.0,32.41,6.5
Parenting & Relationships,5901,4.45,38.8,10.13,25.3
Children's eBooks,5747,4.63,0.0,8.25,20.3
Teen & Young Adult,5738,4.53,3004.3,7.71,43.3
Foreign Language,5724,4.28,1307.1,8.3,21.3
Travel,5526,4.27,455.9,9.78,24.8
LGBTQ+ eBooks,5517,4.43,866.1,5.8,70.8
Computers & Technology,5504,4.23,201.7,23.65,16.0
"Crafts, Hobbies & Home",5502,4.45,20.4,11.47,27.3
Biographies & Memoirs,5405,4.44,2145.5,11.19,12.8
"Cookbooks, Food & Wine",5333,4.39,85.3,10.67,29.6
Law,5027,4.02,0.0,42.48,9.8
Education & Teaching,4986,4.36,226.5,24.89,15.1
Religion & Spirituality,4970,4.63,1564.5,9.6,34.0
Arts & Photo graphy,4916,4.41,454.5,15.14,12.0
Politics & Social Sciences,4207,4.45,1216.5,18.32,6.4
Literature & Fiction,4152,4.47,9189.6,7.41,56.7
Humor & Entertainment,4095,4.4,0.0,7.76,46.2
Science Fiction & Fantasy,3995,4.54,2709.8,6.73,59.4
Self-Help,3493,4.53,730.3,10.06,15.6
Reference,3388,4.33,0.0,17.12,14.2
Sports & Outdoors,3206,4.43,0.0,11.76,22.3
Medical,2583,4.31,0.0,39.67,8.7
Business & Money,2577,4.45,0.0,25.32,9.7
Romance,2214,4.47,0.0,5.33,74.4
History,2045,4.44,1131.5,12.27,20.7
"Health, Fitness & Dieting",1585,4.51,0.0,18.68,15.8
Nonfiction,899,4.56,2209.3,13.89,14.5
Comics,478,4.58,978.2,11.37,30.1
