PUBLISHED_MONTH,BOOK_COUNT,AVG_RATING
2020-09,773,4.54
2020-10,688,4.53
2020-11,567,4.53
2020-12,535,4.51
2021-01,726,4.43
2021-02,552,4.47
2021-03,740,4.49
2021-04,662,4.46
2021-05,720,4.49
2021-06,670,4.48
2021-07,607,4.48
2021-08,650,4.47
2021-09,753,4.49
2021-10,822,4.49
2021-11,793,4.48
2021-12,520,4.44
2022-01,668,4.37
2022-02,640,4.4
2022-03,870,4.44
2022-04,872,4.42
2022-05,955,4.43
2022-06,751,4.38
2022-07,772,4.36
2022-08,935,4.36
2022-09,1133,4.35
2022-10,1041,4.38
2022-11,1095,4.33
2022-12,855,4.22
2023-01,1072,4.18
2023-02,971,4.28
2023-03,1223,4.29
2023-04,1277,4.28
2023-05,1551,4.22
2023-06,1576,4.09
2023-07,1477,4.04
2023-08,2268,3.96
2023-09,3078,3.46
